Order ID,Order Date,Ship Date,Customer Segment,Region,State,Category,Sub-Category,Quantity,Sales,Discount,Discounted Sales,Shipping Cost,Profit
ORD-1133,2023-06-10,2023-06-15,Consumer,Central,Colorado,Office Supplies,Envelopes,3,2285.0,0.0,2285.0,8.18,454.55
ORD-1134,2022-05-17,2022-05-19,Consumer,South,Texas,Technology,Phones,13,5703.36,0.15,4847.86,23.73,-588.86
ORD-1135,2022-03-27,2022-03-29,Home Office,East,Massachusetts,Technology,Printers,12,7443.74,0.35,4838.43,21.69,-2570.87
ORD-1136,2024-09-26,2024-10-01,Corporate,West,Arizona,Office Supplies,Paper,8,1589.54,0.0,1589.54,5.5,93.72
ORD-1137,2023-07-25,2023-07-28,Corporate,South,Alabama,Office Supplies,Labels,7,2868.47,0.05,2725.05,8.26,624.28
ORD-1138,2024-12-04,2024-12-06,Consumer,Central,Kansas,Furniture,Chairs,12,8148.31,0.2,6518.65,33.07,-726.97
ORD-1139,2022-11-08,2022-11-13,Corporate,South,Florida,Furniture,Storage,14,5167.9,0.0,5167.9,56.76,654.8
ORD-1140,2022-06-12,2022-06-19,Corporate,North,Wisconsin,Office Supplies,Pens & Art,4,148.51,0.0,148.51,7.72,39.27
ORD-1141,2023-12-23,2023-12-29,Consumer,East,New Jersey,Technology,Laptops,14,1735.33,0.15,1475.03,18.51,-138.31
ORD-1142,2024-11-24,2024-11-27,Consumer,North,Wisconsin,Technology,Accessories,10,4293.01,0.0,4293.01,22.38,937.75
ORD-1143,2024-09-15,2024-09-17,Consumer,East,Massachusetts,Technology,Phones,2,204.05,0.05,193.85,20.12,-2.16
ORD-1144,2024-07-12,2024-07-14,Home Office,Central,Missouri,Technology,Phones,4,1851.88,0.0,1851.88,20.97,160.38
ORD-1145,2024-08-18,2024-08-23,Corporate,Central,Colorado,Technology,Printers,1,321.51,0.45,176.83,13.15,-122.42
ORD-1146,,2023-11-15,Corporate,East,New Jersey,Office Supplies,Binders,12,6369.92,0.0,6369.92,7.44,1590.25
ORD-1147,2024-05-06,2024-05-11,Consumer,East,Connecticut,Technology,Accessories,14,8772.78,0.05,8334.14,24.96,1242.63
ORD-1148,2022-05-26,2022-06-01,Consumer,South,Texas,Technology,Monitors,4,2841.38,0.0,2841.38,24.36,276.83
ORD-1149,2022-11-10,2022-11-14,Home Office,West,California,Furniture,Bookcases,6,4150.67,0.0,4150.67,54.85,606.15
ORD-1150,2023-11-11,2023-11-17,CORPORATE,East,Massachusetts,Furniture,Tables,3,1213.56,0.45,667.46,40.2,-472.61
ORD-1151,2022-07-18,2022-07-22,Consumer,East,New York,Office Supplies,Envelopes,5,1335.75,0.0,1335.75,5.58,265.48
ORD-1152,2023-10-15,2023-10-20,Corporate,East,Pennsylvania,Office Supplies,Envelopes,1,585.55,0.0,585.55,6.78,115.08
ORD-1153,2024-06-22,2024-06-29,Home Office,East,Massachusetts,Technology,Laptops,3,2288.82,0.0,2288.82,23.29,267.67
ORD-1154,2023-11-12,2023-11-19,Consumer,West,Washington,Technology,Laptops,7,5322.32,0.0,5322.32,20.22,632.61
ORD-1155,,2024-09-14,Corporate,West,California,Furniture,Tables,7,1832.55,0.4,1099.53,36.74,-692.73
ORD-1156,2024-06-04,2024-06-10,Home Office,North,Illinois,Technology,Monitors,5,3116.74,0.15,2649.23,18.22,-296.88
ORD-1157,2022-03-15,2022-03-22,Home Office,East,New York,Furniture,Desks,3,2161.39,0.45,1188.76,58.72,-671.43
ORD-1158,2023-08-28,2023-09-01,Home Office,East,Connecticut,Furniture,Chairs,3,1721.31,0.15,1463.11,48.15,-72.97
ORD-1159,2023-04-01,2023-04-07,Consumer,Central,Indiana,Technology,Phones,6,2699.44,0.0,2699.44,18.49,237.4
ORD-1160,2024-06-24,2024-06-30,Home Office,South,Georgia,Technology,Laptops,8,3421.37,0.2,2737.1,17.76,-443.26
ORD-1161,2024-07-12,2024-07-18,Consumer,North,North Dakota,Furniture,Chairs,3,2112.6,0.2,1690.08,45.61,-199.59
ORD-1162,2024-11-05,2024-11-08,Consumer,South,Texas,Furniture,Storage,5,721.28,0.0,721.28,56.88,76.7
ORD-1163,2024-03-09,2024-03-15,Home Office,East,New Jersey,Furniture,Chairs,3,1516.93,0.1,1365.24,45.08,27.43
ORD-1164,2024-10-20,2024-10-22,Home Office,South,Florida,Office Supplies,Paper,6,4058.32,0.1,3652.49,4.37,-293.51
ORD-1165,2024-10-14,2024-10-20,Consumer,North,Michigan,Office Supplies,Labels,10,5166.08,0.05,4907.78,7.93,1126.41
ORD-1166,2024-11-13,2024-11-18,Home Office,East,Pennsylvania,Furniture,Tables,5,1855.16,0.3,1298.61,34.05,-633.55
ORD-1167,2024-03-11,2024-03-14,Corporate,West,Nevada,Technology,Accessories,12,9487.18,0.0,9487.18,24.89,2079.71
ORD-1168,2022-04-09,2022-04-14,Home Office,East,New Jersey,Office Supplies,Binders,8,1676.93,0.0,1676.93,4.41,417.91
ORD-1169,2024-12-11,2024-12-16,Corporate,Central,Missouri,Technology,Phones,4,2456.2,0.05,2333.39,25.15,39.12
ORD-1170,2024-12-15,2024-12-19,Corporate,West,California,Furniture,Chairs,4,735.55,0.0,735.55,30.83,115.79
ORD-1171,2022-08-14,2022-08-19,Home Office,West,Oregon,Office Supplies,Envelopes,3,2123.18,0.15,1804.7,5.74,-19.77
ORD-1172,2023-09-18,2023-09-24,Consumer,East,Connecticut,Furniture,Chairs,5,363.61,0.1,327.25,42.64,-2.97
ORD-1173,2022-02-13,2022-02-17,Home Office,East,New York,Office Supplies,Labels,6,3833.97,0.0,3833.97,6.54,1148.23
ORD-1174,2022-08-02,2022-08-07,Consumer,South,Alabama,Office Supplies,Labels,3,1725.51,0.2,1380.41,6.19,25.75
ORD-1175,2023-12-06,2023-12-12,Home Office,South,Georgia,Office Supplies,Paper,7,5548.43,0.15,4716.17,7.74,-709.75
ORD-1176,2023-10-16,2023-10-21,Home Office,East,Massachusetts,Office Supplies,Labels,14,392.84,0.0,392.84,7.03,115.74
ORD-1177,2024-07-26,2024-08-01,Corporate,Central,Colorado,Office Supplies,Binders,13,6098.33,0.0,6098.33,7.23,1522.41
ORD-1178,2024-03-08,2024-03-10,Consumer,West,Arizona,Office Supplies,Labels,1,464.47,0.15,394.8,4.66,34.13
ORD-1179,2023-10-17,2023-10-24,Corporate,West,Arizona,Furniture,Desks,13,6435.13,0.45,3539.32,55.06,-1963.14
ORD-1180,2024-09-16,2024-09-22,Home Office,North,Wisconsin,Technology,Printers,9,2797.27,0.35,1818.23,18.39,-969.18
ORD-1181,2022-07-09,2022-07-16,Home Office,East,Connecticut,Furniture,Bookcases,9,2243.9,0.0,2243.9,52.07,320.96
ORD-1182,2024-07-26,2024-08-01,Home Office,South,Georgia,Office Supplies,Envelopes,12,2755.97,0.0,2755.97,6.61,549.21
ORD-1183,2024-01-03,2024-01-06,Corporate,West,Oregon,Furniture,Desks,6,4442.09,0.4,2665.25,51.37,-1294.73
ORD-1184,2024-03-24,2024-03-30,Home Office,South,Georgia,Furniture,Storage,10,2028.36,0.0,2028.36,49.09,248.96
ORD-1185,2024-06-16,2024-06-22,Home Office,South,Texas,Technology,Laptops,2,1099.47,0.0,1099.47,12.67,128.14
ORD-1186,2023-10-11,2023-10-17,Corporate,South,Alabama,Office Supplies,Envelopes,5,2610.15,0.2,2088.12,4.58,-168.42
ORD-1187,2022-06-02,2022-06-09,Home Office,South,Florida,Office Supplies,Binders,14,4572.97,0.05,4344.32,4.98,780.48
ORD-1188,2023-09-10,2023-09-13,Consumer,East,Connecticut,Technology,Accessories,8,6331.54,0.1,5698.39,19.21,450.11
ORD-1189,2024-05-15,2024-05-19,Corporate,Central,Ohio,Furniture,Desks,11,2386.48,0.35,1551.21,29.81,-644.94
ORD-1190,2024-09-13,2024-09-20,Home Office,East,Pennsylvania,Office Supplies,Paper,14,4910.46,0.0,4910.46,4.56,293.26
ORD-1191,2022-12-09,2022-12-13,Consumer,North,Michigan,Technology,Monitors,7,1399.19,0.2,1119.35,15.96,-206.27
ORD-1192,2023-04-23,2023-04-26,Home Office,East,New York,Office Supplies,Labels,4,255.07,0.0,255.07,6.15,74.68
ORD-1193,2023-09-12,2023-09-17,Home Office,West,California,Office Supplies,Pens & Art,10,1883.67,0.0,1883.67,6.21,525.56
ORD-1194,2024-11-27,2024-11-29,Corporate,Central,Kansas,Furniture,Storage,4,2452.24,0.15,2084.4,51.59,-182.23
ORD-1195,2022-12-02,2022-12-08,Corporate,Central,Ohio,Office Supplies,Pens & Art,14,6228.67,0.1,5605.8,5.05,783.3
ORD-1196,2022-02-23,2022-02-25,Consumer,South,Alabama,Furniture,Storage,10,3987.3,0.1,3588.57,42.5,-48.64
ORD-1197,2024-09-15,2024-09-19,Consumer,West,Arizona,Office Supplies,Envelopes,11,7132.71,0.15,6062.8,4.29,-61.91
ORD-1198,2023-01-23,2023-01-25,Home Office,North,Minnesota,Technology,Printers,2,879.63,0.3,615.74,24.38,-290.55
ORD-1199,2024-11-24,2024-11-29,Consumer,West,Washington,Furniture,Tables,11,8487.26,0.4,5092.36,58.59,-3174.84
ORD-1200,2023-02-04,2023-02-11,Corporate,West,Nevada,Furniture,Chairs,3,2383.15,0.05,2263.99,44.95,212.91
ORD-1201,2024-10-14,2024-10-18,Consumer,South,Alabama,Technology,Accessories,9,2814.59,0.0,2814.59,15.72,614.49
ORD-1202,2023-11-20,2023-11-22,Corporate,South,Texas,Technology,Laptops,13,9749.31,0.0,9749.31,15.63,1165.23
ORD-1203,2022-10-08,2022-10-11,Home Office,North,Illinois,Technology,Monitors,12,596.71,0.05,566.87,15.55,12.34
